Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,Sub Vertical,City  Location,Investors Name,Investment Type,Amount in USD
1670,04-05-2016,MyDentistChoice,E-commerce,Medical Supplies eTailer,Hyderabad,Undisclosed investors,Seed Funding,150000.0
1671,04-05-2016,Active.ai,Technology,Intelligent Tech platform for Finance vertical,Singapore,Kalaari Capital Accelerator Program,Seed Funding,500000.0
1672,04-05-2016,Affordplan,Technology,Affordable non-emergency medical service health plans,New Delhi,Kalaari Capital Accelerator Program,Seed Funding,500000.0
1673,04-05-2016,Indee,Consumer Internet,Web Video Streaming Platform,Bangalore,Kalaari Capital Accelerator Program,Seed Funding,500000.0
1675,05-05-2016,WebAlligator,Consumer Internet,Cloud Based Software Solutions,Bangalore,Group of undisclosed Angel Investors & HNIs,Seed Funding,375000.0
1676,06-05-2016,EduAce Services,Education,Education Workshops & mentoring programs,Lucknow,MoMagic Technologies,Private Equity,1000000.0
1678,07-05-2016,Zebroads,Logistics,Logistics and Warehousing services,Hyderabad,Undisclosed investors,Seed Funding,75000.0
1679,09-05-2016,Locus,Technology,Logistics Intelligence platform,Bangalore,Exfinity Venture Partners Blume Ventures BeeNext Rajesh Ranavat,Private Equity,2750000.0
1680,09-05-2016,Toko Innovations,Consumer Internet,Childrens Entertainment Portal,Bangalore,Roopak Saluja Vishal Khare,Seed Funding,450000.0
1681,09-05-2016,Rentickle,E-commerce,Furniture appliances Portal,New Delhi,Manish Kheterpal Vinay Mittal Dinesh Mittal Sandeep Gupta,Seed Funding,250000.0
1682,10-05-2016,HealthifyMe,Consumer Internet,Health & Fitness App,Bangalore,IDG Ventures India Inventus Capital Blume Ventures,Private Equity,6000000.0
1683,10-05-2016,Zarget,Consumer Internet,Conversion Rate Optimization Platform,Chennai,Accel Partners Matrix Partners Girish Mathrubootham,Private Equity,1500000.0
1684,10-05-2016,InnoNano Research,Technology,Clean Water Technology,Chennai,NanoHoldings,Private Equity,18000000.0
1685,10-05-2016,SchoolWear,E-commerce,School Uniform & Supplies Marketplace,Mumbai,Undisclosed investors,Seed Funding,1500000.0
1686,10-05-2016,Swiggy,Consumer Internet,Food Delivery Platform,Bangalore,Norwest Venture Partners DST Global Accel Partners,Private Equity,7000000.0
1687,11-05-2016,Zenify,Consumer Internet,Home rental Discovery & Booking Portal,Bangalore,Undisclosed Investors,Private Equity,900000.0
1689,11-05-2016,Fractal Analytics,Technology,Data Analytics Company,Mumbai,Khazanah Nasional Berhad,Private Equity,100000000.0
